flightId,crud,createdAt,flightType,from,to,airplaneType,fliedAt
IS7971,delete,06/05/2024,international,ADD,DXB,Boeing 777,06/05/2024
QX5469,delete,06/05/2024,local,ADD,ADD,d.Havilland Canada DHC-6 Twin O,06/05/2024
QQ2869,delete,06/05/2024,local,ADD,JIJ,Beechcraft 1900,06/05/2024
YE4261,delete,06/05/2024,local,ADD,ADD,d.Havilland Canada DHC-6 Twin O,06/05/2024
OZ9415,delete,06/05/2024,local,ADD,GDQ,Britten-Norman BN-2 Islander,06/05/2024
NO3116,delete,06/05/2024,local,ADD,GDQ,d.Havilland Canada DHC-6 Twin O,06/05/2024
ZF6964,delete,06/05/2024,local,ADD,ADD,Britten-Norman BN-2 Islander,06/05/2024
RI4799,delete,06/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,06/05/2024
NF4361,update,31/05/2024,local,ADD,DIR,CASA C-212 Aviocar,31/05/2024
NF4361,delete,31/05/2024,local,ADD,DIR,CASA C-212 Aviocar,31/05/2024
PX1989,create,09/05/2024,international,ADD,SIN,Boeing 767,09/05/2024
ZN1840,create,09/05/2024,local,ADD,LLI,Britten-Norman BN-2 Islander,09/05/2024
AR9576,create,09/05/2024,local,ADD,GDQ,CASA C-212 Aviocar,09/05/2024
HR7138,create,09/05/2024,local,ADD,DIR,Britten-Norman BN-2 Islander,09/05/2024
DQ5425,create,09/05/2024,international,ADD,HND,Boeing 767,09/05/2024
VM9608,create,09/05/2024,local,ADD,ADD,d.Havilland Canada DHC-6 Twin O,09/05/2024
UT8007,create,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
WD2299,create,09/05/2024,local,ADD,BJR,Britten-Norman BN-2 Islander,09/05/2024
QR5447,create,09/05/2024,international,ADD,AMS,Boeing 767,09/05/2024
NY6630,create,09/05/2024,international,ADD,SIN,Boeing 767,09/05/2024
XV7661,delete,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
PK6480,create,09/05/2024,international,ADD,DXB,Airbus A330,09/05/2024
IE3432,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
LL3522,create,09/05/2024,local,ADD,ADD,Britten-Norman BN-2 Islander,09/05/2024
EU5597,create,09/05/2024,international,ADD,ICN,Airbus A330,09/05/2024
PS5414,create,09/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,09/05/2024
AC3189,create,09/05/2024,local,ADD,AMH,Britten-Norman BN-2 Islander,09/05/2024
RG4375,create,09/05/2024,local,ADD,AMH,CASA C-212 Aviocar,09/05/2024
RU8197,create,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
YQ3892,delete,09/05/2024,international,ADD,JFK,Boeing 777,09/05/2024
SI7003,delete,09/05/2024,local,ADD,MQX,Beechcraft 1900,09/05/2024
PH2481,delete,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
XS6731,delete,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
WF9885,delete,09/05/2024,international,ADD,LAX,Boeing 787 Dreamliner,09/05/2024
AX5823,create,09/05/2024,local,ADD,GDQ,Britten-Norman BN-2 Islander,09/05/2024
CS7937,create,09/05/2024,local,ADD,GDQ,Cessna 208 Caravan,09/05/2024
PT2810,create,09/05/2024,international,ADD,FRA,Boeing 747,09/05/2024
NU2896,create,09/05/2024,local,ADD,AMH,d.Havilland Canada DHC-6 Twin O,09/05/2024
OC2205,create,09/05/2024,local,ADD,DIR,d.Havilland Canada DHC-6 Twin O,09/05/2024
GD2403,create,09/05/2024,international,ADD,AMS,Boeing 767,09/05/2024
FV6756,create,09/05/2024,international,ADD,CDG,Boeing 787 Dreamliner,09/05/2024
FT3369,delete,09/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,09/05/2024
QS9112,delete,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
OI4712,delete,09/05/2024,local,ADD,MQX,Britten-Norman BN-2 Islander,09/05/2024
UM6605,delete,09/05/2024,international,ADD,SIN,Airbus A330,09/05/2024
OK2564,create,09/05/2024,local,ADD,JIM,Cessna 208 Caravan,09/05/2024
IA5490,create,09/05/2024,local,ADD,AMH,Cessna 208 Caravan,09/05/2024
WZ6814,create,09/05/2024,international,ADD,SIN,Boeing 777,09/05/2024
DY3467,create,09/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,09/05/2024
HL6790,create,09/05/2024,international,ADD,SFO,Boeing 787 Dreamliner,09/05/2024
FQ9233,create,09/05/2024,local,ADD,DIR,d.Havilland Canada DHC-6 Twin O,09/05/2024
UU7015,create,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
KZ8583,create,09/05/2024,local,ADD,ADD,Beechcraft 1900,09/05/2024
DL8269,create,09/05/2024,local,ADD,JIM,Cessna 208 Caravan,09/05/2024
BG9357,create,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
OK4337,create,09/05/2024,international,ADD,JFK,Boeing 767,09/05/2024
ID8362,create,09/05/2024,international,ADD,SFO,Boeing 747,09/05/2024
ZV2594,create,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
RJ5890,create,09/05/2024,local,ADD,AMH,CASA C-212 Aviocar,09/05/2024
PN9710,delete,09/05/2024,local,ADD,MQX,d.Havilland Canada DHC-6 Twin O,09/05/2024
HX6127,delete,09/05/2024,local,ADD,LLI,Beechcraft 1900,09/05/2024
AY3796,delete,09/05/2024,local,ADD,JIM,Cessna 208 Caravan,09/05/2024
EK3253,delete,09/05/2024,local,ADD,JIJ,Britten-Norman BN-2 Islander,09/05/2024
XJ1572,delete,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
JZ1674,create,09/05/2024,local,ADD,MQX,Britten-Norman BN-2 Islander,09/05/2024
IE1644,create,09/05/2024,local,ADD,DIR,Britten-Norman BN-2 Islander,09/05/2024
HP4923,create,09/05/2024,local,ADD,ADD,d.Havilland Canada DHC-6 Twin O,09/05/2024
GG4303,create,09/05/2024,international,ADD,AMS,Boeing 777,09/05/2024
XY6662,create,09/05/2024,local,ADD,MQX,d.Havilland Canada DHC-6 Twin O,09/05/2024
GO7388,create,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
TO4570,create,09/05/2024,local,ADD,MQX,Britten-Norman BN-2 Islander,09/05/2024
VP1932,create,09/05/2024,local,ADD,BJR,Britten-Norman BN-2 Islander,09/05/2024
EG7672,create,09/05/2024,international,ADD,HND,Boeing 747,09/05/2024
DE7868,create,09/05/2024,international,ADD,CDG,Airbus A330,09/05/2024
NX1765,delete,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
SQ4612,delete,09/05/2024,local,ADD,DIR,Cessna 208 Caravan,09/05/2024
HI3216,delete,09/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,09/05/2024
FO6156,delete,09/05/2024,local,ADD,BJR,Cessna 208 Caravan,09/05/2024
IC6481,delete,09/05/2024,international,ADD,CDG,Airbus A330,09/05/2024
IA1759,create,09/05/2024,local,ADD,JIJ,Beechcraft 1900,09/05/2024
LX7690,create,09/05/2024,international,ADD,AMS,Boeing 747,09/05/2024
UD7908,create,09/05/2024,international,ADD,SIN,Boeing 747,09/05/2024
AY5451,create,09/05/2024,local,ADD,BJR,Britten-Norman BN-2 Islander,09/05/2024
XX7912,create,09/05/2024,international,ADD,FRA,Boeing 787 Dreamliner,09/05/2024
FH3655,create,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
KB6878,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
IH1811,create,09/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,09/05/2024
DZ2227,create,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
PE3019,create,09/05/2024,international,ADD,FRA,Boeing 747,09/05/2024
KT1796,create,09/05/2024,international,ADD,AMS,Boeing 767,09/05/2024
QD4542,create,09/05/2024,local,ADD,BJR,Cessna 208 Caravan,09/05/2024
EO3714,create,09/05/2024,international,ADD,DXB,Boeing 787 Dreamliner,09/05/2024
OW6009,create,09/05/2024,international,ADD,SFO,Boeing 747,09/05/2024
OF2446,delete,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
QD3879,delete,09/05/2024,local,ADD,JIM,Cessna 208 Caravan,09/05/2024
RA9742,delete,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
ZA2422,delete,09/05/2024,local,ADD,AMH,Cessna 208 Caravan,09/05/2024
KI3196,delete,09/05/2024,international,ADD,SIN,Boeing 777,09/05/2024
CB5828,delete,09/05/2024,local,ADD,JIM,CASA C-212 Aviocar,09/05/2024
TV2272,create,09/05/2024,local,ADD,LLI,CASA C-212 Aviocar,09/05/2024
EI5044,delete,09/05/2024,local,ADD,GDQ,Beechcraft 1900,09/05/2024
KI7340,delete,09/05/2024,international,ADD,SFO,Boeing 787 Dreamliner,09/05/2024
LP7901,delete,09/05/2024,international,ADD,AMS,Airbus A330,09/05/2024
BQ7341,delete,09/05/2024,international,ADD,JFK,Boeing 747,09/05/2024
KG7017,delete,09/05/2024,international,ADD,DXB,Boeing 747,09/05/2024
QU8913,delete,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
WZ7864,create,09/05/2024,local,ADD,AXU,Britten-Norman BN-2 Islander,09/05/2024
JC8231,create,09/05/2024,international,ADD,CDG,Airbus A330,09/05/2024
SQ8535,create,09/05/2024,international,ADD,AMS,Airbus A330,09/05/2024
AH8301,create,09/05/2024,local,ADD,JIM,d.Havilland Canada DHC-6 Twin O,09/05/2024
WE5352,create,09/05/2024,local,ADD,ADD,d.Havilland Canada DHC-6 Twin O,09/05/2024
WN6309,create,09/05/2024,international,ADD,SIN,Boeing 787 Dreamliner,09/05/2024
MW4308,create,09/05/2024,international,ADD,HND,Boeing 747,09/05/2024
KF3435,create,09/05/2024,local,ADD,LLI,d.Havilland Canada DHC-6 Twin O,09/05/2024
LV7280,create,09/05/2024,local,ADD,AXU,Beechcraft 1900,09/05/2024
QN6145,delete,09/05/2024,international,ADD,JFK,Boeing 767,09/05/2024
KJ6599,delete,09/05/2024,local,ADD,MQX,Beechcraft 1900,09/05/2024
AQ9506,delete,09/05/2024,local,ADD,AXU,Britten-Norman BN-2 Islander,09/05/2024
UG6968,delete,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
GE5507,delete,09/05/2024,international,ADD,CDG,Boeing 777,09/05/2024
LW7385,create,09/05/2024,local,ADD,JIM,Beechcraft 1900,09/05/2024
YZ4473,create,09/05/2024,local,ADD,GDQ,CASA C-212 Aviocar,09/05/2024
ET5193,create,09/05/2024,local,ADD,DIR,Britten-Norman BN-2 Islander,09/05/2024
GV2012,create,09/05/2024,local,ADD,JIJ,Beechcraft 1900,09/05/2024
HO9740,create,09/05/2024,local,ADD,MQX,CASA C-212 Aviocar,09/05/2024
UL8025,create,09/05/2024,international,ADD,SIN,Boeing 777,09/05/2024
WZ5945,create,09/05/2024,international,ADD,JFK,Boeing 747,09/05/2024
LV9011,create,09/05/2024,international,ADD,FRA,Boeing 747,09/05/2024
ZS8640,create,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
WE1944,create,09/05/2024,local,ADD,MQX,Cessna 208 Caravan,09/05/2024
TD3827,delete,09/05/2024,local,ADD,GDQ,Beechcraft 1900,09/05/2024
CV6228,delete,09/05/2024,international,ADD,AMS,Boeing 777,09/05/2024
CY2688,delete,09/05/2024,local,ADD,AMH,Cessna 208 Caravan,09/05/2024
MP3421,delete,09/05/2024,local,ADD,DIR,Britten-Norman BN-2 Islander,09/05/2024
SY5072,delete,09/05/2024,international,ADD,SFO,Boeing 787 Dreamliner,09/05/2024
VQ3109,delete,09/05/2024,international,ADD,DXB,Boeing 747,09/05/2024
QR5717,delete,09/05/2024,international,ADD,SIN,Boeing 787 Dreamliner,09/05/2024
LI1660,create,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
VK6062,create,09/05/2024,local,ADD,DIR,Cessna 208 Caravan,09/05/2024
EV9886,create,09/05/2024,international,ADD,AMS,Airbus A330,09/05/2024
EL6758,create,09/05/2024,local,ADD,LLI,d.Havilland Canada DHC-6 Twin O,09/05/2024
XR1610,create,09/05/2024,local,ADD,ADD,Cessna 208 Caravan,09/05/2024
PB7756,create,09/05/2024,international,ADD,SFO,Boeing 747,09/05/2024
MV8829,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
KO2940,create,09/05/2024,local,ADD,LLI,Beechcraft 1900,09/05/2024
WZ2032,create,09/05/2024,international,ADD,SIN,Boeing 777,09/05/2024
GC4254,create,09/05/2024,international,ADD,CDG,Airbus A330,09/05/2024
OM2507,create,09/05/2024,international,ADD,DXB,Airbus A330,09/05/2024
KP7807,delete,09/05/2024,local,ADD,ADD,Cessna 208 Caravan,09/05/2024
QN8103,delete,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
RS2774,delete,09/05/2024,international,ADD,DXB,Boeing 747,09/05/2024
XH2728,delete,09/05/2024,international,ADD,CDG,Airbus A330,09/05/2024
RS5772,delete,09/05/2024,local,ADD,ADD,Cessna 208 Caravan,09/05/2024
TP4928,delete,09/05/2024,international,ADD,JFK,Boeing 747,09/05/2024
FS5068,create,09/05/2024,international,ADD,FRA,Airbus A330,09/05/2024
CJ6622,create,09/05/2024,local,ADD,LLI,Beechcraft 1900,09/05/2024
DG8572,create,09/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,09/05/2024
LN8745,create,09/05/2024,international,ADD,HND,Boeing 777,09/05/2024
YM3868,create,09/05/2024,international,ADD,ICN,Boeing 777,09/05/2024
TW6214,create,09/05/2024,local,ADD,ADD,Cessna 208 Caravan,09/05/2024
NG3513,create,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
IT2854,create,09/05/2024,international,ADD,ICN,Boeing 747,09/05/2024
HL3688,delete,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
GW2260,delete,09/05/2024,local,ADD,DIR,Cessna 208 Caravan,09/05/2024
RJ2779,delete,09/05/2024,international,ADD,ICN,Boeing 767,09/05/2024
IU6450,delete,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
SQ2016,delete,09/05/2024,international,ADD,ICN,Boeing 777,09/05/2024
QN1379,delete,09/05/2024,international,ADD,LAX,Boeing 767,09/05/2024
YN1346,delete,09/05/2024,international,ADD,DXB,Boeing 767,09/05/2024
KD8371,delete,09/05/2024,local,ADD,GDQ,d.Havilland Canada DHC-6 Twin O,09/05/2024
HM5096,create,09/05/2024,local,ADD,GDQ,Beechcraft 1900,09/05/2024
IX2297,create,09/05/2024,local,ADD,GDQ,Britten-Norman BN-2 Islander,09/05/2024
AP4152,create,09/05/2024,local,ADD,GDQ,Cessna 208 Caravan,09/05/2024
QQ3257,create,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
EC2012,create,09/05/2024,international,ADD,JFK,Airbus A330,09/05/2024
SQ4955,create,09/05/2024,international,ADD,HND,Airbus A330,09/05/2024
YI6423,delete,09/05/2024,local,ADD,MQX,d.Havilland Canada DHC-6 Twin O,09/05/2024
VE1075,delete,09/05/2024,international,ADD,SFO,Boeing 787 Dreamliner,09/05/2024
FD7510,delete,09/05/2024,international,ADD,FRA,Boeing 787 Dreamliner,09/05/2024
KA6972,delete,09/05/2024,local,ADD,ADD,Beechcraft 1900,09/05/2024
IX2349,delete,09/05/2024,international,ADD,AMS,Boeing 787 Dreamliner,09/05/2024
BF2509,delete,09/05/2024,local,ADD,JIJ,Beechcraft 1900,09/05/2024
NS8719,create,09/05/2024,international,ADD,LAX,Boeing 777,09/05/2024
VB8235,create,09/05/2024,international,ADD,HND,Boeing 777,09/05/2024
PN2030,create,09/05/2024,international,ADD,SIN,Boeing 747,09/05/2024
ZJ1566,create,09/05/2024,local,ADD,LLI,CASA C-212 Aviocar,09/05/2024
HW9855,create,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
GA6537,create,09/05/2024,international,ADD,SFO,Airbus A330,09/05/2024
WL8866,create,09/05/2024,local,ADD,DIR,Cessna 208 Caravan,09/05/2024
GQ7472,create,09/05/2024,international,ADD,AMS,Boeing 787 Dreamliner,09/05/2024
AQ5362,create,09/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,09/05/2024
UH9352,create,09/05/2024,international,ADD,HND,Boeing 747,09/05/2024
TP4548,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
UX8585,delete,09/05/2024,international,ADD,DXB,Airbus A330,09/05/2024
DC4237,delete,09/05/2024,international,ADD,SFO,Boeing 767,09/05/2024
MK3042,delete,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
ED2383,delete,09/05/2024,international,ADD,ICN,Boeing 777,09/05/2024
SC6353,delete,09/05/2024,local,ADD,AXU,Beechcraft 1900,09/05/2024
DA9295,delete,09/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,09/05/2024
VU2639,delete,09/05/2024,local,ADD,JIM,Beechcraft 1900,09/05/2024
TF5557,create,09/05/2024,international,ADD,HND,Boeing 787 Dreamliner,09/05/2024
YC4757,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
ZN1465,create,09/05/2024,local,ADD,JIM,d.Havilland Canada DHC-6 Twin O,09/05/2024
MW2023,create,09/05/2024,international,ADD,JFK,Boeing 767,09/05/2024
CU9546,delete,09/05/2024,local,ADD,AMH,Britten-Norman BN-2 Islander,09/05/2024
TQ2850,delete,09/05/2024,local,ADD,JIJ,d.Havilland Canada DHC-6 Twin O,09/05/2024
OH5539,delete,09/05/2024,international,ADD,SFO,Boeing 767,09/05/2024
FG2911,delete,09/05/2024,international,ADD,HND,Boeing 747,09/05/2024
KA9057,delete,09/05/2024,international,ADD,ICN,Boeing 777,09/05/2024
OI1319,delete,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
PE4596,delete,09/05/2024,local,ADD,LLI,Britten-Norman BN-2 Islander,09/05/2024
QN1155,delete,09/05/2024,local,ADD,BJR,CASA C-212 Aviocar,09/05/2024
IW9785,create,09/05/2024,international,ADD,HND,Boeing 767,09/05/2024
HA9106,create,09/05/2024,international,ADD,LAX,Boeing 777,09/05/2024
AV5222,create,09/05/2024,international,ADD,SIN,Boeing 777,09/05/2024
JT4776,create,09/05/2024,international,ADD,AMS,Boeing 747,09/05/2024
KQ3233,create,09/05/2024,local,ADD,AMH,d.Havilland Canada DHC-6 Twin O,09/05/2024
OV1891,create,09/05/2024,international,ADD,AMS,Airbus A330,09/05/2024
JS1117,create,09/05/2024,local,ADD,AMH,Cessna 208 Caravan,09/05/2024
UZ1429,create,09/05/2024,local,ADD,AXU,Cessna 208 Caravan,09/05/2024
XC5508,create,09/05/2024,international,ADD,LAX,Boeing 747,09/05/2024
NU4309,delete,09/05/2024,international,ADD,SIN,Boeing 787 Dreamliner,09/05/2024
GJ7713,delete,09/05/2024,international,ADD,JFK,Boeing 787 Dreamliner,09/05/2024
HO5299,create,09/05/2024,local,ADD,DIR,Beechcraft 1900,09/05/2024
YD4346,create,09/05/2024,local,ADD,GDQ,Cessna 208 Caravan,09/05/2024
YC7194,create,09/05/2024,local,ADD,JIJ,CASA C-212 Aviocar,09/05/2024
CD4604,create,09/05/2024,international,ADD,DXB,Boeing 767,09/05/2024
JU3577,create,09/05/2024,international,ADD,CDG,Boeing 767,09/05/2024
YJ6666,create,09/05/2024,international,ADD,LAX,Airbus A330,09/05/2024
XL3317,create,09/05/2024,local,ADD,GDQ,Britten-Norman BN-2 Islander,09/05/2024
WX1288,delete,09/05/2024,international,ADD,JFK,Boeing 787 Dreamliner,09/05/2024
DW3514,delete,09/05/2024,local,ADD,AMH,Britten-Norman BN-2 Islander,09/05/2024
SD1762,delete,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
NI9892,delete,09/05/2024,international,ADD,SIN,Airbus A330,09/05/2024
IU5898,delete,09/05/2024,local,ADD,MQX,Beechcraft 1900,09/05/2024
FX6048,delete,09/05/2024,local,ADD,AMH,CASA C-212 Aviocar,09/05/2024
KI1747,delete,09/05/2024,local,ADD,JIJ,Britten-Norman BN-2 Islander,09/05/2024
BX8920,delete,09/05/2024,international,ADD,FRA,Boeing 777,09/05/2024
JX6169,delete,09/05/2024,international,ADD,DXB,Airbus A330,09/05/2024
GT1245,create,09/05/2024,international,ADD,SFO,Boeing 767,09/05/2024
JP1636,create,09/05/2024,international,ADD,HND,Boeing 777,09/05/2024
AD9806,create,09/05/2024,international,ADD,AMS,Airbus A330,09/05/2024
XN6355,create,09/05/2024,local,ADD,AXU,Britten-Norman BN-2 Islander,09/05/2024
UA5173,create,09/05/2024,international,ADD,AMS,Boeing 767,09/05/2024
SF4136,create,09/05/2024,local,ADD,DIR,CASA C-212 Aviocar,09/05/2024
BH1070,create,09/05/2024,local,ADD,BJR,Cessna 208 Caravan,09/05/2024
HU7174,create,09/05/2024,international,ADD,DXB,Boeing 787 Dreamliner,09/05/2024
YJ2072,create,09/05/2024,international,ADD,DXB,Airbus A330,09/05/2024
RA1733,delete,09/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,09/05/2024
JX7228,delete,09/05/2024,international,ADD,ICN,Boeing 747,09/05/2024
OW7328,delete,09/05/2024,local,ADD,DIR,Beechcraft 1900,09/05/2024
UF7057,delete,09/05/2024,local,ADD,DIR,d.Havilland Canada DHC-6 Twin O,09/05/2024
BF8473,delete,09/05/2024,local,ADD,GDQ,Cessna 208 Caravan,09/05/2024
AV5042,delete,09/05/2024,international,ADD,LAX,Boeing 787 Dreamliner,09/05/2024
KN7555,create,09/05/2024,local,ADD,BJR,Britten-Norman BN-2 Islander,09/05/2024
NU2319,create,09/05/2024,local,ADD,AMH,CASA C-212 Aviocar,09/05/2024
XG9927,create,09/05/2024,international,ADD,FRA,Airbus A330,09/05/2024
MR5850,create,09/05/2024,international,ADD,FRA,Boeing 767,09/05/2024
RR2747,create,09/05/2024,local,ADD,GDQ,Beechcraft 1900,09/05/2024
XO6792,create,09/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,09/05/2024
NV6760,create,09/05/2024,local,ADD,LLI,Britten-Norman BN-2 Islander,09/05/2024
LD8983,create,09/05/2024,local,ADD,GDQ,Beechcraft 1900,09/05/2024
YZ5744,create,09/05/2024,international,ADD,SFO,Boeing 747,09/05/2024
GM4083,create,09/05/2024,international,ADD,DXB,Boeing 747,09/05/2024
SX9960,create,09/05/2024,international,ADD,CDG,Boeing 747,09/05/2024
JQ5106,create,09/05/2024,local,ADD,AXU,CASA C-212 Aviocar,09/05/2024
OV3234,create,09/05/2024,local,ADD,AMH,CASA C-212 Aviocar,09/05/2024
RO7872,create,09/05/2024,international,ADD,SFO,Boeing 747,09/05/2024
RW6754,delete,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
RX4654,delete,09/05/2024,local,ADD,DIR,Cessna 208 Caravan,09/05/2024
AK7801,delete,09/05/2024,local,ADD,AXU,Beechcraft 1900,09/05/2024
XI8721,delete,09/05/2024,international,ADD,AMS,Boeing 777,09/05/2024
ND7916,delete,09/05/2024,local,ADD,BJR,CASA C-212 Aviocar,09/05/2024
WU9805,create,09/05/2024,local,ADD,BJR,Britten-Norman BN-2 Islander,09/05/2024
JT4833,create,09/05/2024,international,ADD,AMS,Boeing 787 Dreamliner,09/05/2024
NP5900,create,09/05/2024,international,ADD,ICN,Boeing 777,09/05/2024
KD9728,create,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
XV8236,create,09/05/2024,local,ADD,AXU,d.Havilland Canada DHC-6 Twin O,09/05/2024
QO8859,delete,09/05/2024,international,ADD,SFO,Boeing 787 Dreamliner,09/05/2024
VZ2633,delete,09/05/2024,international,ADD,SIN,Boeing 747,09/05/2024
PD5309,create,09/05/2024,international,ADD,FRA,Airbus A330,09/05/2024
CN2346,create,09/05/2024,international,ADD,DXB,Boeing 787 Dreamliner,09/05/2024
