flightId,updatedAt,updatedDate,reason,description
UF7057,09/05/2024,09/05/2024,Weather Conditions,no description provided
BF8473,09/05/2024,09/05/2024,Weather Conditions,no description provided
AV5042,09/05/2024,09/05/2024,Weather Conditions,no description provided
RW6754,09/05/2024,09/05/2024,Weather Conditions,no description provided
RX4654,09/05/2024,09/05/2024,Weather Conditions,no description provided
AK7801,09/05/2024,09/05/2024,Weather Conditions,no description provided
XI8721,09/05/2024,09/05/2024,Weather Conditions,no description provided
ND7916,09/05/2024,09/05/2024,Weather Conditions,no description provided
QO8859,09/05/2024,09/05/2024,Weather Conditions,no description provided
VZ2633,09/05/2024,09/05/2024,Weather Conditions,no description provided
SY1679,09/05/2024,09/05/2024,Weather Conditions,no description provided
RO6613,09/05/2024,09/05/2024,Weather Conditions,no description provided
QQ2140,09/05/2024,09/05/2024,Weather Conditions,no description provided
PY7043,09/05/2024,09/05/2024,Weather Conditions,no description provided
AA3273,09/05/2024,09/05/2024,Weather Conditions,no description provided
OR3181,09/05/2024,09/05/2024,Weather Conditions,no description provided
QA8515,09/05/2024,09/05/2024,Weather Conditions,no description provided
HM9789,09/05/2024,09/05/2024,Weather Conditions,no description provided
CF7383,09/05/2024,09/05/2024,Weather Conditions,no description provided
XD5886,09/05/2024,09/05/2024,Weather Conditions,no description provided
DV4123,09/05/2024,09/05/2024,Weather Conditions,no description provided
IJ4697,09/05/2024,09/05/2024,Weather Conditions,no description provided
BJ2612,09/05/2024,09/05/2024,Weather Conditions,no description provided
GD6692,09/05/2024,09/05/2024,Weather Conditions,no description provided
EI2667,09/05/2024,09/05/2024,Weather Conditions,no description provided
KQ6275,09/05/2024,09/05/2024,Weather Conditions,no description provided
WC6807,09/05/2024,09/05/2024,Weather Conditions,no description provided
VR1505,09/05/2024,09/05/2024,Weather Conditions,no description provided
VS1506,09/05/2024,09/05/2024,Weather Conditions,no description provided
TW9131,09/05/2024,09/05/2024,Weather Conditions,no description provided
PA4122,09/05/2024,09/05/2024,Weather Conditions,no description provided
EQ8794,09/05/2024,09/05/2024,Weather Conditions,no description provided
NG8237,09/05/2024,09/05/2024,Weather Conditions,no description provided
JU2101,09/05/2024,09/05/2024,Weather Conditions,no description provided
PY3141,09/05/2024,09/05/2024,Weather Conditions,no description provided
KG5494,09/05/2024,09/05/2024,Weather Conditions,no description provided
PO8917,09/05/2024,09/05/2024,Weather Conditions,no description provided
JA1734,09/05/2024,09/05/2024,Weather Conditions,no description provided
GF9745,09/05/2024,09/05/2024,Weather Conditions,no description provided
SW7977,09/05/2024,09/05/2024,Weather Conditions,no description provided
UA2509,09/05/2024,09/05/2024,Weather Conditions,no description provided
UA4991,09/05/2024,09/05/2024,Weather Conditions,no description provided
FO4773,09/05/2024,09/05/2024,Weather Conditions,no description provided
GV3107,09/05/2024,09/05/2024,Weather Conditions,no description provided
CT7372,09/05/2024,09/05/2024,Weather Conditions,no description provided
FS8372,09/05/2024,09/05/2024,Weather Conditions,no description provided
FL6009,09/05/2024,09/05/2024,Weather Conditions,no description provided
PS8073,09/05/2024,09/05/2024,Weather Conditions,no description provided
LZ6433,09/05/2024,09/05/2024,Weather Conditions,no description provided
DA5500,09/05/2024,09/05/2024,Weather Conditions,no description provided
BN3505,09/05/2024,09/05/2024,Weather Conditions,no description provided
PK4984,09/05/2024,09/05/2024,Weather Conditions,no description provided
ST2918,09/05/2024,09/05/2024,Weather Conditions,no description provided
EN7204,09/05/2024,09/05/2024,Weather Conditions,no description provided
AE5575,09/05/2024,09/05/2024,Weather Conditions,no description provided
GA8001,09/05/2024,09/05/2024,Weather Conditions,no description provided
EH1607,09/05/2024,09/05/2024,Weather Conditions,no description provided
RB1158,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZE3627,09/05/2024,09/05/2024,Weather Conditions,no description provided
VT5813,09/05/2024,09/05/2024,Weather Conditions,no description provided
SP6432,09/05/2024,09/05/2024,Weather Conditions,no description provided
NB6043,09/05/2024,09/05/2024,Weather Conditions,no description provided
DA7962,09/05/2024,09/05/2024,Weather Conditions,no description provided
TW6121,09/05/2024,09/05/2024,Weather Conditions,no description provided
VY2226,09/05/2024,09/05/2024,Weather Conditions,no description provided
FX4805,09/05/2024,09/05/2024,Weather Conditions,no description provided
DP3621,09/05/2024,09/05/2024,Weather Conditions,no description provided
PL8758,09/05/2024,09/05/2024,Weather Conditions,no description provided
KL8086,09/05/2024,09/05/2024,Weather Conditions,no description provided
FK6547,09/05/2024,09/05/2024,Weather Conditions,no description provided
JU4733,09/05/2024,09/05/2024,Weather Conditions,no description provided
XW9059,09/05/2024,09/05/2024,Weather Conditions,no description provided
KB2772,09/05/2024,09/05/2024,Weather Conditions,no description provided
QW6648,09/05/2024,09/05/2024,Weather Conditions,no description provided
BG6706,09/05/2024,09/05/2024,Weather Conditions,no description provided
NV7509,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZW3387,09/05/2024,09/05/2024,Weather Conditions,no description provided
OM5612,09/05/2024,09/05/2024,Weather Conditions,no description provided
JR9335,09/05/2024,09/05/2024,Weather Conditions,no description provided
DP1930,09/05/2024,09/05/2024,Weather Conditions,no description provided
TN7926,09/05/2024,09/05/2024,Weather Conditions,no description provided
JJ1241,09/05/2024,09/05/2024,Weather Conditions,no description provided
SB4092,09/05/2024,09/05/2024,Weather Conditions,no description provided
SI9403,09/05/2024,09/05/2024,Weather Conditions,no description provided
AQ9017,09/05/2024,09/05/2024,Weather Conditions,no description provided
EF3342,09/05/2024,09/05/2024,Weather Conditions,no description provided
CH2557,09/05/2024,09/05/2024,Weather Conditions,no description provided
FK7894,09/05/2024,09/05/2024,Weather Conditions,no description provided
UH6870,09/05/2024,09/05/2024,Weather Conditions,no description provided
UB9607,09/05/2024,09/05/2024,Weather Conditions,no description provided
MN1095,09/05/2024,09/05/2024,Weather Conditions,no description provided
TZ5323,09/05/2024,09/05/2024,Weather Conditions,no description provided
WX8912,09/05/2024,09/05/2024,Weather Conditions,no description provided
DT3135,09/05/2024,09/05/2024,Weather Conditions,no description provided
HO2679,09/05/2024,09/05/2024,Weather Conditions,no description provided
RF6010,09/05/2024,09/05/2024,Weather Conditions,no description provided
CK2354,09/05/2024,09/05/2024,Weather Conditions,no description provided
OR2545,09/05/2024,09/05/2024,Weather Conditions,no description provided
FQ4780,09/05/2024,09/05/2024,Weather Conditions,no description provided
PQ6192,09/05/2024,09/05/2024,Weather Conditions,no description provided
CT2708,09/05/2024,09/05/2024,Weather Conditions,no description provided
DR5738,09/05/2024,09/05/2024,Weather Conditions,no description provided
GK3141,09/05/2024,09/05/2024,Weather Conditions,no description provided
WA2025,09/05/2024,09/05/2024,Weather Conditions,no description provided
MK1112,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZK3040,09/05/2024,09/05/2024,Weather Conditions,no description provided
HR9120,09/05/2024,09/05/2024,Weather Conditions,no description provided
ME4338,09/05/2024,09/05/2024,Weather Conditions,no description provided
BN5100,09/05/2024,09/05/2024,Weather Conditions,no description provided
IG2924,09/05/2024,09/05/2024,Weather Conditions,no description provided
AB9127,09/05/2024,09/05/2024,Weather Conditions,no description provided
RB6272,09/05/2024,09/05/2024,Weather Conditions,no description provided
LD6980,09/05/2024,09/05/2024,Weather Conditions,no description provided
JW4846,09/05/2024,09/05/2024,Weather Conditions,no description provided
WU8562,09/05/2024,09/05/2024,Weather Conditions,no description provided
YE1110,09/05/2024,09/05/2024,Weather Conditions,no description provided
QL9862,09/05/2024,09/05/2024,Weather Conditions,no description provided
SG3952,09/05/2024,09/05/2024,Weather Conditions,no description provided
TK8902,09/05/2024,09/05/2024,Weather Conditions,no description provided
OF6074,09/05/2024,09/05/2024,Weather Conditions,no description provided
YK2190,09/05/2024,09/05/2024,Weather Conditions,no description provided
XI3633,09/05/2024,09/05/2024,Weather Conditions,no description provided
WL9612,09/05/2024,09/05/2024,Weather Conditions,no description provided
NH2901,09/05/2024,09/05/2024,Weather Conditions,no description provided
HG8238,09/05/2024,09/05/2024,Weather Conditions,no description provided
FM7385,09/05/2024,09/05/2024,Weather Conditions,no description provided
SY7478,09/05/2024,09/05/2024,Weather Conditions,no description provided
GP4196,09/05/2024,09/05/2024,Weather Conditions,no description provided
BM3498,09/05/2024,09/05/2024,Weather Conditions,no description provided
XV7265,09/05/2024,09/05/2024,Weather Conditions,no description provided
HO5668,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZY1456,09/05/2024,09/05/2024,Weather Conditions,no description provided
GI9346,09/05/2024,09/05/2024,Weather Conditions,no description provided
NQ4752,09/05/2024,09/05/2024,Weather Conditions,no description provided
RX9287,09/05/2024,09/05/2024,Weather Conditions,no description provided
OZ1521,09/05/2024,09/05/2024,Weather Conditions,no description provided
JR2271,09/05/2024,09/05/2024,Weather Conditions,no description provided
FH9679,09/05/2024,09/05/2024,Weather Conditions,no description provided
TU3917,09/05/2024,09/05/2024,Weather Conditions,no description provided
FB6375,09/05/2024,09/05/2024,Weather Conditions,no description provided
CN9845,09/05/2024,09/05/2024,Weather Conditions,no description provided
GI5813,09/05/2024,09/05/2024,Weather Conditions,no description provided
TV3833,09/05/2024,09/05/2024,Weather Conditions,no description provided
PL4544,09/05/2024,09/05/2024,Weather Conditions,no description provided
IX4571,09/05/2024,09/05/2024,Weather Conditions,no description provided
QJ7439,09/05/2024,09/05/2024,Weather Conditions,no description provided
TE9808,09/05/2024,09/05/2024,Weather Conditions,no description provided
CL1336,09/05/2024,09/05/2024,Weather Conditions,no description provided
OH9259,09/05/2024,09/05/2024,Weather Conditions,no description provided
TJ8307,09/05/2024,09/05/2024,Weather Conditions,no description provided
RF9819,09/05/2024,09/05/2024,Weather Conditions,no description provided
SB8551,09/05/2024,09/05/2024,Weather Conditions,no description provided
VY4431,09/05/2024,09/05/2024,Weather Conditions,no description provided
BP9629,09/05/2024,09/05/2024,Weather Conditions,no description provided
QG2184,09/05/2024,09/05/2024,Weather Conditions,no description provided
CX6814,09/05/2024,09/05/2024,Weather Conditions,no description provided
VC6859,09/05/2024,09/05/2024,Weather Conditions,no description provided
KI1908,09/05/2024,09/05/2024,Weather Conditions,no description provided
TW9943,09/05/2024,09/05/2024,Weather Conditions,no description provided
CW5524,09/05/2024,09/05/2024,Weather Conditions,no description provided
XJ9976,09/05/2024,09/05/2024,Weather Conditions,no description provided
VS8829,09/05/2024,09/05/2024,Weather Conditions,no description provided
WU1867,09/05/2024,09/05/2024,Weather Conditions,no description provided
TV9601,09/05/2024,09/05/2024,Weather Conditions,no description provided
TI7000,09/05/2024,09/05/2024,Weather Conditions,no description provided
QJ7828,09/05/2024,09/05/2024,Weather Conditions,no description provided
XL2603,09/05/2024,09/05/2024,Weather Conditions,no description provided
PS3043,09/05/2024,09/05/2024,Weather Conditions,no description provided
WL5372,09/05/2024,09/05/2024,Weather Conditions,no description provided
SN1432,09/05/2024,09/05/2024,Weather Conditions,no description provided
BU8767,09/05/2024,09/05/2024,Weather Conditions,no description provided
TY7866,09/05/2024,09/05/2024,Weather Conditions,no description provided
QB6372,09/05/2024,09/05/2024,Weather Conditions,no description provided
OY1978,09/05/2024,09/05/2024,Weather Conditions,no description provided
QG6076,09/05/2024,09/05/2024,Weather Conditions,no description provided
GX5981,09/05/2024,09/05/2024,Weather Conditions,no description provided
VT4984,09/05/2024,09/05/2024,Weather Conditions,no description provided
TJ2344,09/05/2024,09/05/2024,Weather Conditions,no description provided
TV6148,09/05/2024,09/05/2024,Weather Conditions,no description provided
CZ2667,09/05/2024,09/05/2024,Weather Conditions,no description provided
NJ1661,09/05/2024,09/05/2024,Weather Conditions,no description provided
UN1858,09/05/2024,09/05/2024,Weather Conditions,no description provided
RH8784,09/05/2024,09/05/2024,Weather Conditions,no description provided
EY1046,09/05/2024,09/05/2024,Weather Conditions,no description provided
CK2985,09/05/2024,09/05/2024,Weather Conditions,no description provided
RZ6946,09/05/2024,09/05/2024,Weather Conditions,no description provided
PZ1837,09/05/2024,09/05/2024,Weather Conditions,no description provided
WY1497,09/05/2024,09/05/2024,Weather Conditions,no description provided
GH2958,09/05/2024,09/05/2024,Weather Conditions,no description provided
MI9784,09/05/2024,09/05/2024,Weather Conditions,no description provided
RE1726,09/05/2024,09/05/2024,Weather Conditions,no description provided
UQ7005,09/05/2024,09/05/2024,Weather Conditions,no description provided
MT7260,09/05/2024,09/05/2024,Weather Conditions,no description provided
WS9728,09/05/2024,09/05/2024,Weather Conditions,no description provided
RM3731,09/05/2024,09/05/2024,Weather Conditions,no description provided
KB7598,09/05/2024,09/05/2024,Weather Conditions,no description provided
NY9483,09/05/2024,09/05/2024,Weather Conditions,no description provided
LG9765,09/05/2024,09/05/2024,Weather Conditions,no description provided
WS8245,09/05/2024,09/05/2024,Weather Conditions,no description provided
UW8316,09/05/2024,09/05/2024,Weather Conditions,no description provided
HC7966,09/05/2024,09/05/2024,Weather Conditions,no description provided
IV7873,09/05/2024,09/05/2024,Weather Conditions,no description provided
FW9444,09/05/2024,09/05/2024,Weather Conditions,no description provided
QN8442,09/05/2024,09/05/2024,Weather Conditions,no description provided
LT1753,09/05/2024,09/05/2024,Weather Conditions,no description provided
OR7472,09/05/2024,09/05/2024,Weather Conditions,no description provided
OK6354,09/05/2024,09/05/2024,Weather Conditions,no description provided
QE1108,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZS7221,09/05/2024,09/05/2024,Weather Conditions,no description provided
QG6517,09/05/2024,09/05/2024,Weather Conditions,no description provided
ML7696,09/05/2024,09/05/2024,Weather Conditions,no description provided
TH5766,09/05/2024,09/05/2024,Weather Conditions,no description provided
TL3918,09/05/2024,09/05/2024,Weather Conditions,no description provided
JI2639,09/05/2024,09/05/2024,Weather Conditions,no description provided
OW5957,09/05/2024,09/05/2024,Weather Conditions,no description provided
IV3635,09/05/2024,09/05/2024,Weather Conditions,no description provided
QX8261,09/05/2024,09/05/2024,Weather Conditions,no description provided
VW1006,09/05/2024,09/05/2024,Weather Conditions,no description provided
TN3241,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZD4172,09/05/2024,09/05/2024,Weather Conditions,no description provided
UY6290,09/05/2024,09/05/2024,Weather Conditions,no description provided
DG2057,09/05/2024,09/05/2024,Weather Conditions,no description provided
GV2119,09/05/2024,09/05/2024,Weather Conditions,no description provided
QR7664,09/05/2024,09/05/2024,Weather Conditions,no description provided
EW3670,09/05/2024,09/05/2024,Weather Conditions,no description provided
CZ5979,09/05/2024,09/05/2024,Weather Conditions,no description provided
NJ9826,09/05/2024,09/05/2024,Weather Conditions,no description provided
RJ5945,09/05/2024,09/05/2024,Weather Conditions,no description provided
YU1676,09/05/2024,09/05/2024,Weather Conditions,no description provided
SE8910,09/05/2024,09/05/2024,Weather Conditions,no description provided
MD9141,09/05/2024,09/05/2024,Weather Conditions,no description provided
RH7090,09/05/2024,09/05/2024,Weather Conditions,no description provided
WP9946,09/05/2024,09/05/2024,Weather Conditions,no description provided
JA1922,09/05/2024,09/05/2024,Weather Conditions,no description provided
GF4686,09/05/2024,09/05/2024,Weather Conditions,no description provided
GB7658,10/05/2024,10/05/2024,Weather Conditions,no description provided
QI3120,10/05/2024,10/05/2024,Weather Conditions,no description provided
VQ6424,10/05/2024,10/05/2024,Weather Conditions,no description provided
LR2417,10/05/2024,10/05/2024,Weather Conditions,no description provided
YI1366,10/05/2024,10/05/2024,Weather Conditions,no description provided
CR9342,10/05/2024,10/05/2024,Weather Conditions,no description provided
UY5559,10/05/2024,10/05/2024,Weather Conditions,no description provided
DG5649,10/05/2024,10/05/2024,Weather Conditions,no description provided
YL9203,10/05/2024,10/05/2024,Weather Conditions,no description provided
GQ3737,10/05/2024,10/05/2024,Weather Conditions,no description provided
QW7474,10/05/2024,10/05/2024,Weather Conditions,no description provided
BM1574,10/05/2024,10/05/2024,Weather Conditions,no description provided
CJ5002,10/05/2024,10/05/2024,Weather Conditions,no description provided
UZ8254,10/05/2024,10/05/2024,Weather Conditions,no description provided
FF4595,10/05/2024,10/05/2024,Weather Conditions,no description provided
MN2257,10/05/2024,10/05/2024,Weather Conditions,no description provided
PK4432,10/05/2024,10/05/2024,Weather Conditions,no description provided
BF2398,10/05/2024,10/05/2024,Weather Conditions,no description provided
OU3017,10/05/2024,10/05/2024,Weather Conditions,no description provided
KA4668,10/05/2024,10/05/2024,Weather Conditions,no description provided
XG9286,10/05/2024,10/05/2024,Weather Conditions,no description provided
PS5274,10/05/2024,10/05/2024,Weather Conditions,no description provided
HK7792,10/05/2024,10/05/2024,Weather Conditions,no description provided
KY1003,10/05/2024,10/05/2024,Weather Conditions,no description provided
DZ3191,10/05/2024,10/05/2024,Weather Conditions,no description provided
VE4129,10/05/2024,10/05/2024,Weather Conditions,no description provided
UI8321,10/05/2024,10/05/2024,Weather Conditions,no description provided
DD7384,10/05/2024,10/05/2024,Weather Conditions,no description provided
HY4529,10/05/2024,10/05/2024,Weather Conditions,no description provided
DF3327,10/05/2024,10/05/2024,Weather Conditions,no description provided
ZX6142,10/05/2024,10/05/2024,Weather Conditions,no description provided
ZJ5240,10/05/2024,10/05/2024,Weather Conditions,no description provided
CN8016,10/05/2024,10/05/2024,Weather Conditions,no description provided
FP8884,10/05/2024,10/05/2024,Weather Conditions,no description provided
HM7290,10/05/2024,10/05/2024,Weather Conditions,no description provided
KV9729,10/05/2024,10/05/2024,Weather Conditions,no description provided
JI6956,10/05/2024,10/05/2024,Weather Conditions,no description provided
DL6239,10/05/2024,10/05/2024,Weather Conditions,no description provided
BL3638,10/05/2024,10/05/2024,Weather Conditions,no description provided
VE7899,10/05/2024,10/05/2024,Weather Conditions,no description provided
MR4294,10/05/2024,10/05/2024,Weather Conditions,no description provided
MM3416,10/05/2024,10/05/2024,Weather Conditions,no description provided
GQ1573,10/05/2024,10/05/2024,Weather Conditions,no description provided
UZ7471,10/05/2024,10/05/2024,Weather Conditions,no description provided
CF8441,10/05/2024,10/05/2024,Weather Conditions,no description provided
PJ2990,10/05/2024,10/05/2024,Weather Conditions,no description provided
YI3636,10/05/2024,10/05/2024,Weather Conditions,no description provided
FW9474,10/05/2024,10/05/2024,Weather Conditions,no description provided
AR3424,10/05/2024,10/05/2024,Weather Conditions,no description provided
ZJ4141,10/05/2024,10/05/2024,Weather Conditions,no description provided
BN2652,10/05/2024,10/05/2024,Weather Conditions,no description provided
SZ8513,10/05/2024,10/05/2024,Weather Conditions,no description provided
NU6986,10/05/2024,10/05/2024,Weather Conditions,no description provided
DX5437,10/05/2024,10/05/2024,Weather Conditions,no description provided
TT2868,10/05/2024,10/05/2024,Weather Conditions,no description provided
QN6704,10/05/2024,10/05/2024,Weather Conditions,no description provided
GZ1643,10/05/2024,10/05/2024,Weather Conditions,no description provided
RP9088,10/05/2024,10/05/2024,Weather Conditions,no description provided
VM8224,10/05/2024,10/05/2024,Weather Conditions,no description provided
ND9832,10/05/2024,10/05/2024,Weather Conditions,no description provided
KI6068,10/05/2024,10/05/2024,Weather Conditions,no description provided
WB2495,10/05/2024,10/05/2024,Weather Conditions,no description provided
XU3864,10/05/2024,10/05/2024,Weather Conditions,no description provided
XG1072,10/05/2024,10/05/2024,Weather Conditions,no description provided
XF2840,10/05/2024,10/05/2024,Weather Conditions,no description provided
RO3402,10/05/2024,10/05/2024,Weather Conditions,no description provided
SM8803,10/05/2024,10/05/2024,Weather Conditions,no description provided
DG4736,10/05/2024,10/05/2024,Weather Conditions,no description provided
OH5838,10/05/2024,10/05/2024,Weather Conditions,no description provided
GO1259,10/05/2024,10/05/2024,Weather Conditions,no description provided
JP2171,10/05/2024,10/05/2024,Weather Conditions,no description provided
CI5336,10/05/2024,10/05/2024,Weather Conditions,no description provided
JJ6852,10/05/2024,10/05/2024,Weather Conditions,no description provided
PR6051,10/05/2024,10/05/2024,Weather Conditions,no description provided
IT4145,10/05/2024,10/05/2024,Weather Conditions,no description provided
ZV4594,10/05/2024,10/05/2024,Weather Conditions,no description provided
ON8992,10/05/2024,10/05/2024,Weather Conditions,no description provided
DV5761,10/05/2024,10/05/2024,Weather Conditions,no description provided
EG5946,10/05/2024,10/05/2024,Weather Conditions,no description provided
QG1842,10/05/2024,10/05/2024,Weather Conditions,no description provided
